Bruxelles  Ville- Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi
Urbanisme / Stedenbouw;SERVICE Entretien et remplacement éventuel de la pelouse stade Roi Baudouin- Procédure ouverte avec publicité européene;DIENSTEN Onderhoud en eventuele vervanging van de grasmat van het Koning Boudewijnstadion - Openbare Procedure met europese bekenmaking;28/11/2019;GROENSERVICE bvba, Voortstraat 41 - 2890 Sint-Amands;634.717,54
Ressources humaines / Human resources;Marché à faible montant - Marché public de services à bordereau de prix ayant pour but l’organisation d’une formation Atelier de préparation à la retraite;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel: organiseren van een vorming Workshop voorbereiding op het pensioen;21/03/2019;Réseau Sequoia;10.168,00
Urbanisme / Stedenbouw;TRAVAUX Marché public de travaux par procédure négociée directe avec publication préalable : Réalisation et installation du mobilier urbain sur la Place Bockstael et ses abords. - Cahier spécial des charges n° CAR/19/PNP/197 - Articles 35, 6° et 41 de la loi du 17/06/2016.;DIENSTEN Overheidsopdracht voor aanneming van werken via vereenvoudigde procedure met voorafgaande bekendmaking : Realisatie en plaatsing van stadsmeubilair op het Emile Bockstaelplein en zijn directe omgeving. -  Bijzonder lastenboek n° CAR/19/PNP/197 - Artikels 35, 6° en 41 van de wet van 17/06/2016.;19/12/2019;De Dender nv;223.193,53
Ressources humaines / Human resources;Marché à faible montant - Marché public de services à bordereau de prix ayant pour but l’organisation d’une formation Télétravail pour responsables;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel: organiseren van een vorming Telewerk voor Verantwoordelijken;1/03/2019;CFIP;11.875,00
Urbanisme / Stedenbouw;SERVICES Marché public de service de faible montant sur simple facture acceptée : réalisation d’un audit territorial, technique et juridique en vue de proposer des scénarios d’occupation temporaire pour le bâtiment sis 2-8 rue de Ligne - Cahier spécial des charges n° 2019/PLAN/audit tech. occupation temporaire De Ligne - Article 92 de la loi du 17/06/2016;DIENSTEN Overheidsopdracht voor aanneming van diensten van beperkte waarde met aanvaarde factuur : opstellen van een ruimtelijke, technische en juridische analyse van het gebouw gelegen op het adres De Lignestraat 2-8, om er een tijdelijke bezetting te vestigen - Bijzonder lastenboek n° 2019/PLAN/audit tech. occupation temporaire De Ligne - Artikel 92 van de wet van 17/06/2016;12/12/2019;Communa ASBL;15.699,75
Ressources humaines / Human resources;Marché à faible montant - Marché public de services à bordereau de prix ayant pour but l’organisation d’une formation Entretien d'évaluation;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel: organiseren van een vorming Evaluatiegesprek;1/09/2019;CFIP;29.925,00
Urbanisme / Stedenbouw;"SERVICES Marché public de service de faible montant sur simple facture acceptée : campagne de communication PCDD/Fabrication de 8 roll-up à placer dans le centre administratif et dans les antennes décentralisées de la Ville de
Bruxelles-boîtes";DIENSTEN Overheidsopdracht voor aanneming van diensten van beperkte waarde met aanvaarde factuur : communicatiecampagne GDOP/Productie van 8 roll-ups die in het administratief centrum en in de gedecentraliseerde kantoren van de Stad Brussel worden geplaatst.;29/08/2019;Flyer.be;525,55
Ressources humaines / Human resources;Marché à faible montant - Marché public de services ayant pour but l’organisation de 3 formations à la grammaire et l’orthographe du néerlandais à destination des agents francophones + mise à disposition d’un test pour évaluer le niveau des agents.;Overheidsopdracht van beperkte waarde - Overheidsopdracht voor diensten tegen prijslijst met het doel : organiseren van 3 vormingen spelling en spraakkunst van het Nederlands voor franstalige agenten + levering van een niveautest.;1/11/2020;Lerian Communications BVBA-VSO;4.200,00
Urbanisme / Stedenbouw;SERVICES Marché public de faible montant sur simple facture acceptée : campagne de communication PCDD/Impression placement et enlèvement de stickers sur les camions-tapissières de la Ville de Bruxelles - supplément;DIENSTEN Overheidsopdracht voor aanneming van diensten van beperkte waarde met aanvaarde factuur : communicatiecampagne GDOP/Bedrukken, plaatsen en verwijderen van stickers op de vrachtwagens van de Stad Brussel - supplementen;29/08/2019;Vedi express;629,20
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 12 mois, de matériaux hydrocarbonés semi-fermés applicables à froid pour l'entretien des voies publiques  conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010339).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van koud te verwerken halfdichte koolwaterstofproducten voor het onderhoud van de openbare weg afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010339).;24/01/19;Viabuild nv - Schaliënhoevedreef 20F - 2800 Mechelen;120.405,16
Urbanisme / Stedenbouw;SERVICES Marché public de faible montant sur simple facture acceptée : campagne de communication PCDD/Affichage de rooftop banners dans les métro/bus et trams de Bruxelles;DIENSTEN Overheidsopdracht voor aanneming van diensten van beperkte waarde met aanvaarde factuur : communicatiecampagne GDOP/Weergave van banners op het dak in de metro/bus en de trams van Brussel;29/08/2019;JCDecaux Belgium SA;9.318,00
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but l'entretien, pendant 48 mois, de la piste d'athlétisme du stade Roi Baudouin du département Culture, Jeunesse, Loisirs et Sports conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010183).;Overheidsopdracht voor diensten met het doel het onderhoud, gedurende 48 maanden, van de atletiekpiste van het Koning Boudewijnstadion van het departement Cultuur, Jeugd, Ontspanning en Sport afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010183).;24/01/19;Filip Hebbelinck bvba - Hillarestraat 47 - 9160 Lokeren;38.115,00
Démographie / Demografie;Marché public de fournitures ayant pour but l'achat de magazines spécifiques pour le secteur de la Petite Enfance (0-3 ans), conclu par une procédure de faible montant;Openbare opdracht voor diensten met als doel de aankoop van tijdschriften specifiek voor de sector van het Jonge Kind (0-3 jaar) vastgelegd via  opdracht voor gering bedrab;08/04/2019;Ecole des Loisirs, Bébémax;1.255,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 24 mois, de jeux et jouets, y compris des durables, pour divers départements conclu par procédure négociée  sans publicité en application de l'article 26, § 1er, 1°, a, de la loi du 15/06/2006 (cahier spécial des charges CDA/008635).- Commandes supplémentaires.;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 24 maanden, van spellen en speelgoed, duurzame inbegrepen, voor verschillende departementen afgesloten via onderhandelingsprocedure zonder bekendmaking overeenkomstig artikel 26, § 1, 1°, a, van de wet van 15/06/2006 (bestek nr CDA/008635).- Bijkomende bestellingen.;14/02/19;Wesco SA - B.P. 10 - 1040 Bruxelles;40.000,00
Démographie / Demografie;Marché public de services ayant pour but le gardiennage de quelques spectacles pour tout-petits (0-3 ans), conclu par une procédure de faible montant;Openbare opdracht voor diensten met als doel de beveilingen van enkele voorstellingen voor allerkleinsten (0-3 jaar) vastgelegd via opdracht voor gering bedrag;27/06/2019;WHIRLPOOL;134,99
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 60 mois, de papiers et cartons pour différents départements conclu par adjudication ouverte en application des articles 23 et 24 de la loi du 15/06/2006 (cahier spécial des charges n° CDA/005170).- Commandes supplémentaires.;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 60 maanden, van papier en karton voor vershillende departementen afgesloten via open aanbesteding overeenkomstig artikelen 23 en 24 van de wet van 15/06/2006 (bestek nr CDA/005170).- Bijkomende bestellingen.;14/02/19;Igepa Belux nv - Nijverheidslaan 4 - 9880 Aalter;85.000,00
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;22/08/2019;MIELE;1.161,99
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but la traduction et la correction, pendant 48 mois, de textes pour divers départements conclu par procédure ouverte en application de l'article 36 de la loi du 17/06/2016 (cahier spécial des charges CDA/009981).;Overheidsopdracht voor diensten tegen prijslijst met het doel het vertalen en het corrigeren, gedurende 48 maanden, van teksten voor verschillende departementen afgesloten via een openbare procedure overeenkomstig artikel 36 van de wet van 17/06/2016 (bestek nr CDA/009981).;21/02/19;Amplexor Luxembourg SARL - rue de Luxembourg 55 - 8077 Bertrange - Luxembourg;657.011,06
Démographie / Demografie;"Marché public de services ayant pour but l'analyse de la qualité de l'eau potable, conclu via un marché public de minime importance.- Non-application de l’article 60 du Règlement général
de la Comptabilité communale (R.G.C.C.) en raison de circonstances imprévisibles";Openbare opdracht voor diensten met als doel een drinkwateranalyse, vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;03/10/2019;VIVAQUA SCRL;638,03
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible à bordereau de prix ayant pour but la fourniture, pendant 12 mois, de terreau pour plantes annuelles et bisannuelles pour la cellule Espaces Verts du département Travaux de Voirie conclu par procédure négociée  sans publicité préalable en application de l'article 26, § 1er, 1°, a, de la loi du 15/06/2006 (cahier spécial des charges CDA/008647).- Reconduction.;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van potgrond voor een- en tweejarige planten voor de cel Groene Ruimten van het departement Wegeniswerken afgesloten via een onderhandelingsprocedure zonder bekendmaking overeenkomstig artikel 26, § 1, 1°, a, van de wet van 15/06/2006 (bestek CDA/008647).- Verlenging.;28/02/19;De Ceuster Meststoffen nv - Fortsesteenweg 30 - 2860 Sint-Katelijne-Waver;46.508,44
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;17/10/2019;MIELE;551,33
Centrale d'Achats / Aankoopcentrale;Marché public de services  en 2 lots ayant pour but le nettoyage, pendant 60 mois, des vitres et des châssis des bâtiments communaux conclu par adjudication ouverte en application des articles 23 et 24 de la loi du 15/06/2006 (cahier spécial des charges CDA/007193).- Services supplémentaires.;Overheidsopdracht voor diensten in 2 percelen met het doel het reinigen, gedurende 60 maanden, van de ruiten en de ramen van de gemeentelijke gebouwen afgesloten via open aanbesteding overeenkomstig artikelen 23 en 24 van de wet van 15/06/2006 (bestek CDA/007193).- Bijkomende diensten.;21/03/19;Gom nv - Noorderplaats 7/1 - 2000 Antwerpen;13.570,15
Démographie / Demografie;Marché public de services ayant pour but l'organisation de spectacles pour tout-petits (0-3 ans) conclu par procédure spécificité;Openbare opdracht voor diensten met als doel het organiseren van voorstellingen voor allerkleinsten (0-3 jaar) vastgelegd via specifieke procedure;22/12/2019;Les Jeunesses Musicales;330,00
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but le contrôle, pendant 12 mois, des incapacités de travail du personnel de la Ville pour raison médicale conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010412).;Overheidsopdracht voor diensten tegen prijslijst met het doel de controle, gedurende 12 maanden, op de werkonbekwaamheden van het personeel van de Stad om medische redenen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010412).;4/04/19;Certimed vzw - Kempische Steenweg 309 bus 3,01 - (Corda Campus 2) - 3500 Hasselt;87.345,00
Démographie / Demografie;Marché public de services ayant pour but l’organisation de cours d’informatique seniors du 17/01/2019 au 22/02/2019  à l’Espace S Lips, conclu par procédure négociée en application de l'article 92 de la loi du 17/06/2016.;Overheidsopdracht voor diensten met als doel het organiseren van informaticacursussen voor senioren van 17/01/2019 tot 22/02/2019 in S Punt Lips, afgesloten via een onderhandelingsprocedure overeenkomstig artikel 92 van de wet van 17/06/2016.;18/04/2019;Fobagra asbl;960,00
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'exécution, pendant 11 mois, de programmes de balayage sur le territoire de la Ville de Bruxelles avec une petite balayeuse de 4 m³ mise à disposition par le département Travaux de Voirie, ainsi que l'entretien de cette machine durant la même période conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010525).;Overheidsopdracht voor diensten tegen prijslijst met het doel de uitvoering, gedurende 11 maanden, van veegprogramma's op het grondgebied van de Stad Brussel met een door het departement Wegeniswerken ter beschikking gestelde kleine veegmachine van 4 m³, alsook het onderhoud van deze machine gedurende dezelfde periode afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenskomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010525).;9/05/19;Road Sweeper Renting bvba - Hofstraat 24 - 3980 Tessenderlo;156.059,75
Démographie / Demografie;Marché public de services ayant pour but l’entretien et la réparation des volets de l’Espace S Van Artevelde, conclu par procédure négociée en application de l'article 92 de la loi du 17/06/2016.;Overheidsopdracht voor diensten met als doel de herstelling en het onderhoud van de luiken van S Punt Van Artevelde,  afgesloten via een onderhandelingsprocedure overeenkomstig artikel 92 van de wet van 17/06/2016;7/11/2019;ISAP S.A.;1.236,21
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 48 mois, de divers gants de travail pour divers départements conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010386).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 48 maanden, van verschillende werkhandschoenen voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010386).;23/05/19;VDP Safety nv - Binnensteenweg 160  - 2530 Boechout;112.900,14
Démographie / Demografie;Marché public de services ayant pour but la location de transports adaptés pour les Olympiades des Seniors le 12/09/2019 au Stade Roi Baudouin, conclu par procédure négociée en application de l'article 92 de la loi du 17/06/2016.;Overheidsopdracht voor diensten met als doel de huur van aangepast vervoer voor de Seniorenolympiade op 12/09/2019 in het Koning Boudewijnstadion, afgesloten via een onderhandelingsprocedure overeenkomstig artikel 92 van de wet van 17/06/2016;7/11/2019;Transport et Vie;295,66
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 4 lots ayant pour but la fourniture, pendant 48 mois, d'équipements de protection individuelle pour divers départements conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010387).;Overheidsopdracht voor leveringen tegen prijslijst en in 4 percelen met het doel de levering, gedurende 48 maanden, van persoonlijke beschermingsmiddelen voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010387).;23/05/19;Branson CD bvba - Pamelstraat Oost 425 - 9400 Ninove + Boma nv - Noorderlaan 131 - 2030 Antwerpen;90.629,97
Régie foncière / Grondregie;Marché de travaux-Cirque Royal-rigging-PNSPP;Opracht van werken-Koninklijk Circus-rigging-PNSPP;29/08/2019;ARTISTIC RIGGING TECHNOLOGIES;34.065,13
Centrale d'Achats / Aankoopcentrale;Marché public de services reconductible et à bordereau de prix ayant pour but l'organisation, pendant 24 mois, de formations et de séances d'intervision pour les directions d'établissements scolaires francophones du département Instruction Publique conclu par procédure négociée sans publicité en application de l'article 26, § 1er, 1°, a, de la loi du 15/06/2006 (cahier spécial des charges n° CDA/009041). Reconduction.;Verlengbare overheidsopdracht voor diensten tegen prijslijst met het doel de organisatie, gedurende 24 maanden, van vormingen en intervisiesessies voor directies van de Franstalige scholen van de Stad Brussel voor het departement Openbaar Onderwijs afgesloten via onderhandelingsprocedure zonder  bekendmaking overeenkomstig artikel 26, § 1, 1°, a, van de wet van 15/06/2006 (bestek nr CDA/009041). Verlenging.;23/05/19;Ferrer Formations ASBL - rue de la Fontaine 4 - 1000 Bruxelles;20.800,00
Régie foncière / Grondregie;Marché de travaux_ 373_Harenberg III_Raccordement eau;Werk opdracht _373_Harenberg III_Water aansluiting;24/10/2019;VIVAQUA SCRL, boulevard de l’Impératrice 17-19 à 1000 Bruxelles;36.580,26
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures en 2 lots ayant pour but la location et l'entretien, pendant 60 mois, de photocopieurs multifonctions pour divers départements conclu par procédure ouverte en application de l'article 21, § 1er de la loi du 15/07/2011 (cahier des charges n° CDA/007236). Extension.;Overheidsopdracht voor leveringen in 2 percelen met het doel de huur en het onderhoud, gedurende 60 maanden, van multifunctionele fotokopieerapparaten voor verschillenden departementen afgesloten via een open aanbesteding overeenkomstig artikel 21,  § 1 van de wet van 15/07/20111 (bestek nr CDA/007236). Uitbreiding.;13/06/19;Konica Minolta Business Solutions (Belgium) nv - Berkenlaan 8A-B - 1831 Diegem;49.336,00
Affaires économiques / Economische zaken;"Animation Commerciale -
Fourniture d'eau - procédure négociée
 en spécialité";"Commerciële animatie -
Levering van water - gespecialiseerde onderhandelingsprocedure";21/03/2019;Vivaqua;6.750,00
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but l'entretien annuel, pendant 48 mois, des studios photo de l'Ecole de Photographie et de Techniques Visuelles Agnès Varda du département Instruction Publique conclu par procédure négociée sans publicité préalable en application de  l'article 42, § 1er, 1°, d, ii, de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010440).;"Overheidsopdracht voor diensten met het doel het jaarlijks onderhoud, gedurende 48 maanden, van de fotostudio's van de ""Ecole de Photographie et de Techniques Visuelles Agnès Varda"" van het departement Openbaar Onderwijs afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, d, ii, van de wet van 17/06/2016 (bestek nr CDA/010440).";20/06/19;Servix.be bvba - Kontichsesteenweg 41 - 2630 Aartselaar;79.908,40
Affaires économiques / Economische zaken;"Animation Commerciale -
fourniture -signalisation routière provisoire -
adjudicataire de la Région";"Commerciële animatie -
Levering - Voorlopige wegsignalisatie - opdrachtnemer van het Gewest";22/08/2019;VSE (Verkeer Signalisatie & Elektronika);8.500,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 12 mois, d'essence synthétique pour moteurs à deux et à quatre temps pour le départementsTravaux de Voire conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010535).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van synthetische benzine voor tweetakt- en viertaktmotoren  voor het  departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010535).;5/12/19;Mari-Team bvba - Noorderveld 11 - 2960 Brecht;67.675,30
Affaires économiques / Economische zaken;"Animation Commerciale -
Services - animations d'ouverture Laeken-
marché public de faible montant";"Commerciële animatie -
Dienstverlening - animatie opening Laken - overheidsopdracht van beperkte waarde";18/04/2019;Animateurs locaux - lokale animators;1.298,25
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'organisation, pendant 36 mois, de séances de coaching pour l'U.O. (unité organisationnelle) Formation du département Ressources Humaines  conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010626).;Overheidsopracht voor diensten tegen prijslist met het doel de organisatie, gedurende 36 maanden, van coaching sessies voor het de O.E. (organisatorische eenheid) Vorming van het departement Human Resources  afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010626).;5/09/19;Human Transfer SCRL - avenue Houba-de-Strooper 78 - 1020 Bruxelles;94.864,00
Affaires économiques / Economische zaken;"Animation Commerciale -
Services - comptages des visiteurs Midi - Marché public via I-city";"Commerciële animatie -
Dienstverlening - telling bezoekers Zuid - overheidsopdracht via I-city";7/11/2019;Orange Sa;8.349,00
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but l'étude, la réalisation et/ou la mise à jour, le tirage, la mise en support ainsi que la fixation des plans d'évacuation de divers établissements pour le département Urbanisme conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010732).;Overheidsopdracht voor diensten met het doel de studie, het maken en/of het actualiseren, het afdrukken, het plaatsen in houders en het bevestigen van de evacuatieplannen van diverse instellingen voor het  departement Stedenvouw afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010732).;5/09/19;Sicli SA - rue du Merlo 1 - 1180 Bruxelles;66.646,80
Affaires économiques / Economische zaken;"Animation Commerciale -
Benchmarking Lille -  déclaration de créance - Delots Mélanie";"Commerciële animatie -
Benchmarking Rijsel - kosten nota - Delots Mélanie";17/10/2019;Delots Mélanie;644,50
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible à bordereau de prix ayant pour but la fourniture, pendant 12 mois, d'éléments de protection en élastomère pour les crèches pour le département Démographie conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010610).;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van beschermingselementen in elastomeer voor de kinderdagverblijven van het departement Demografie afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010610).;12/09/19;JBH International SPRL - rue Colonel Bourg 127-129 - 1140 Bruxelles;100.000,00
Affaires économiques / Economische zaken;"Animation Commerciale -
Services- état des lieux - procédure négociée";"Commerciële animatie -
Dienstverlening - Inventarisatie - onderhandelingsprocedure";31/01/2019;CORNET EXPERTISE;160,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 2 lots ayant pour but la fourniture, pendant 12 mois, de matériel et de consommables d'éclairage pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010385).;Overheidsopdracht voor leveringen tegen prijslijst en in 2 percelen met het doel de levering, gedurende 12 maanden, verlichtingstoestellen en verbruiksgoederen voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010385).;19/09/19;Trilec SA - rue de la Grenouilette 2B - 1130 Bruxelles;90.000,00
Affaires économiques / Economische zaken;"Marchés : 
Travaux : Reparation du boïtier électrique du marché de la Chaussée d'Anvers- Accepté par simple facture";"Markten : 
Werken: Herstelling van de elektrische doos van markt in de Antwerpsesteenweg - Aanvaarding via eenvoudige factuur";14/03/2019;Sibelga;315,81
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 48 mois, de cachets et de leurs consommables pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010445).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 48 maanden, van stempels en hun verbruiksproductenvoor verschillende departementen  afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010445).;17/10/19;Impress bvba - Doornikserijksweg 1A - 8510 Bellegen;51.563,95
Affaires économiques / Economische zaken;"Marchés : 
Service : Location de matériels et de tentes  pour la promotion des marchés 2019 (marché des marchés + Parvis de Notre Dame de Laeken)- Accepté par simple facture";"Markten : 
Dienstverlening : Verhuur van materiaal en tenten voor de promotie van de markten van 2019 (markt der markten + Onze-Lieve-Vrouwvoorplein van Laeken)- Aanvaarding via eenvoudige factuur";14/03/2019;Rock the city;9.000,00
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but la livraison d'une balayeuse compacte, la reprise d'une balayeuse amortie et, pendant 72 mois, l'entretien de la balayeuse compacte ainsi que l'exécution de programmes de balayage sur le territoire de la Ville de Bruxelles avec cette machine conclu par procédure ouverte en application de l'article 36 de la loi du 17/06/2016  (cahier des charges n° CDA/010538).;Overheidsopdracht voor diensten met het doel de levering van een compacte veegmachine, de overname van een afgeschreven veegmachine en, gedurende 72 maanden, het onderhouden van de compacte veegmachine en het uitvoeren van veegprogramma's op het grondgebied van de Stad Brussel met deze machine afgesloten via openbare prcedure overeenkomstig artikel 36 van de wet van 17/06/2016 (bestek CDA/010538).;17/10/19;Road Sweeper Renting bvba - Hofstraat 24 - 3980 Tessenderlo;1.134.989,68
Affaires économiques / Economische zaken;"Marchés : 
Travaux :  Installation Boitier électrique définitif sur le marché de la Place du Vieux Marché aux Grains et l'installation de boîtiers électriques provisoires sur le marché événementiel du Parvis de Notre Dame de Laeken (édition 2019). - Accepté par simple facture";"Markten : 
Werken: Installatie van de definitieve elektrische doos op de Oude graanmarkt en de installatie van tijdelijke elektrische dozen op de evenementenmarkt van het Onze-Lieve-Vrouwvoorplein van Laken (editie 2019). - Aanvaarding door eenvoudige factuur";23/05/2019;Sibelga;5.675,21
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures reconductible à bordereau de prix ayant pour but la fourniture, pendant 12 mois, d'huiles moteurs, d'huiles spéciales et de fluides techniques pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010137).- Reconduction.;Verlengbare overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van motoroliën, speciale oliën en technische vloeistoffen voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010137).- Verlenging.;28/11/19;Total Belgium Sa - rue du Commerce 93 - 1040 Bruxelles;55.915,20
